id;address;region;latitude;longitude
100;Località Bogonza;Veneto;45.6077378;10.80902
101;via Toledo 177;Campania;40.840558;14.2488138
102;Località Fienili, fraz. Scalvino;Lombardy;45.8996;9.6557
103;via Caneve 2;Veneto;45.4958973;12.2448558
104;località Plazze 4, frazione Tret;Trentino – Alto Adige/Südtirol;46.4388;11.1372
105;viale Rinascimento 137;Marche;42.9215273;13.9007793
106;Via Fleres 185;Trentino – Alto Adige/Südtirol;46.9357713;11.4446267
107;piazza Kursaal 6;Marche;42.9913429;13.8711407
108;viale Cesare Battisti 35;Emilia-Romagna;43.9976582;12.6619531
109;via Verdi 32;Lombardy;45.3800624;10.509142
110;via Circonvallazione Cantù 62;Lombardy;45.0137194;9.122799
111;via Provinciale Lacco, 284;Campania;40.7228;13.8662
112;via Soprascaro 17;Campania;40.7371801;13.8571996
113;via Bettole 35;Piedmont;44.7993;8.7836
114;S.S. Cassia 46,700;Lazio;42.24596;12.21715
115;viale Traiano 85, angolo via Fiumara 2;Lazio;41.76747;12.22907
116;piazza Michele da Montopoli 2;Tuscany;43.7911;10.6882
117;via Giuseppe Garibaldi 36;Sardinia;39.9961256;8.5399412
118;via Addolorata 7/9;Apulia;40.4999;17.3826
119;lungomare Andrea Doria 48;Sicily;36.7826965;14.5571016
120;via Josef Innerhofer 2;Trentino – Alto Adige/Südtirol;46.4550916;11.2588126
121;SS Adriatica Sud 78;Marche;43.6781563;13.285244
122;strada Roma 23;Trentino – Alto Adige/Südtirol;46.4763;11.7693
123;calle del Fontego dei Tedeschi, Ponte di Rialto;Veneto;45.4371;12.3327
124;piazza delle Coppelle 49;Lazio;41.9008477;12.4760601
125;isola della Giudecca 10;Veneto;45.4656;12.3291
126;corso Garibaldi 60;Apulia;41.7852041;15.4419199
127;via Pelate 38;Lombardy;45.0317656;11.1137491
128;largo Abruzzi 2, ang. via Piemonte 23;Sardinia;39.5263074;9.1333468
129;piazza Unità d'Italia 2;Friuli – Venezia Giulia;45.6496634;13.767445
130;via San Valentino 3;Trentino – Alto Adige/Südtirol;46.4296155;11.5332378
131;piazza Leopoldo Baracco 7;Piedmont;44.6178;8.1824
132;piazza San Rocco 5;Lombardy;45.8603008;9.1016137
133;piazza Giannino Ancilotto 9;Veneto;45.6663419;12.2465761
134;Via dei Cavalieri 2/c;Tuscany;43.7706083;11.2539994
135;via Giuseppe Cesare Abba 51;Sardinia;39.23054;9.11917
136;via Tenente Eula 7;Liguria;44.0460102;7.9157458
137;via Caiolo Alto 45;Lombardy;46.1845;9.621
138;via Montanara 318;Emilia-Romagna;44.5245032;10.7685067
139;via Sant'Agostino 15/b;Piedmont;45.0751016;7.6801716
140;località Riale;Piedmont;46.3769;8.4257
141;via dell'Annunziata 12;Piedmont;44.3814189;7.818684
142;via Roma 18;Piedmont;45.7408178;8.4114949
143;piazza di Cestello 8;Tuscany;43.7703478;11.243472
144;via degli Avignonesi 22;Lazio;41.9029795;12.4873924
145;borgata Brandini 16;Piedmont;44.6405765;7.9105715
146;Via Migliara 72;Campania;40.5526914;14.2202841
147;viale Turigliano 13;Tuscany;44.0525524;10.0693926
148;via F.lli Bianchi 1;Lombardy;45.6333;10.5833
149;corso Garibaldi 112/113;Campania;40.6182159;15.0558789
150;via Santa Maria de' Greci 2;Sicily;37.857;15.3011
151;Borgo XX Giugno 56;Umbria;43.1035031;12.3937924
152;via IV Novembre 79;Veneto;46.1393832;12.3640252
153;via del Castello 71;Emilia-Romagna;45.0528185;9.6851331
154;via delle Ginestre 1;Sicily;37.6866227;15.1033221
155;piazza della Vittoria 14;Tuscany;42.805809;10.2003653
156;via Piave 13;Veneto;45.6286195;11.7041086
157;via Libertà 18;Lombardy;45.332101;9.661258
158;via Perosi 15;Piedmont;44.8990397;8.8658347
159;strèdà Roma 5;Trentino – Alto Adige/Südtirol;46.476675;11.7715828
160;SP 2 I/II 60;Sicily;37.7105;15.2165
161;via Bastione 19;Trentino – Alto Adige/Südtirol;45.8870258;10.8386957
162;via Garibaldi 68;Veneto;46.0162768;11.9064665
163;via Balzi Rossi 2;Liguria;43.7833609;7.5355445
164;via Dell'Amore 2;Campania;40.3996113;14.9982077
165;via Camiano Piccolo 5;Umbria;42.8938066;12.6623667
166;viale Bigioli 47;Marche;43.2297294;13.1766318
167;piazza Carignano 2;Piedmont;45.0694963;7.684876
168;strada Panoramica Adriatica;Marche;43.9181495;12.8971458
169;via Oremo 54;Piedmont;45.5822775;8.00533
170;strada La Palud 27;Aosta Valley;45.8147393;6.9638202
171;via Butera 55;Sicily;38.1181739;13.3714566
172;via Ponte Rino 6;Lombardy;45.3984311;9.6684469
173;via Mazzini 38;Emilia-Romagna;44.5406908;10.7844101
174;via XXIV Maggio 1;Emilia-Romagna;44.6279156;10.4169568
175;via Pallade 18;Veneto;45.9550896;12.1197585
176;via Roma 2;Lombardy;46.1352285;9.462842
177;piazza del Duomo 4;Tuscany;43.7736934;11.2567916
178;via 47° Reggimento Fanteria 7;Apulia;40.3905;18.3003
179;largo Saluzzo 25/h;Piedmont;45.0583376;7.6791005
180;via Provinciale Lucchese 102, loc. Ponte di Serravalle;Tuscany;43.8915444;10.8193937
181;via Provinciale Nord 30;Veneto;45.3858596;12.0485921
182;piazza san Francesco 7;Campania;40.6961375;14.7100314
183;borgo di Fighine;Tuscany;42.9666;11.9027
184;via Dolada 21, località Plois alt. 870;Veneto;46.1735858;12.3600921
185;via Umberto I;Piedmont;44.3030166;7.7980606
186;Campo di Trens;Trentino – Alto Adige/Südtirol;46.6309;11.5381
187;via Montecuccoli 6;Lombardy;45.706883;9.3259849
188;via di Ripetta 73;Lazio;41.9067288;12.4757499
189;via Giuseppe Gioacchino Belli 59;Lazio;41.7726771;12.6716182
190;via XXIV Maggio 23;Lombardy;45.5730287;9.110463
